                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6704,                  13.95,                 2.7713,                 2.6805,                 22.147,                 2.1415,                0.24367,                0.02769,                0.02865,                0.00696,                 3.2386,                 5.4729,                 3.6351,                 3.5039,                 8.1615,                  2.976,             0.00066414,             0.00066414,             0.00066414
                      2,                 2.8716,                  3.998,                 1.7787,                 2.9045,                 5.8944,                 1.6344,                0.36881,                0.31385,                0.24983,                0.07768,                 2.5369,                 2.5278,                   1.56,                 2.6112,                 3.5224,                 1.3324,              0.0013176,              0.0013176,              0.0013176
                      3,                  2.592,                 2.6156,                 1.5825,                 2.6768,                  3.601,                 1.4345,                0.33163,                0.30992,                0.24723,                 0.0805,                 2.5962,                 3.2245,                 1.5138,                 2.7324,                 3.3225,                 1.3643,              0.0019579,              0.0019579,              0.0019579
                      4,                 2.4789,                 2.0561,                 1.4617,                 2.6319,                  2.659,                  1.333,                0.42391,                0.41538,                0.35932,                0.10598,                 2.3334,                 1.6726,                 1.3461,                  2.513,                 2.1896,                 1.2492,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4462,                 1.8418,                 1.4424,                 2.6055,                 2.2457,                 1.3113,                0.46538,                0.40308,                0.38773,                0.13623,                   2.29,                 1.6017,                 1.3507,                 2.3311,                 2.0478,                 1.1927,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.3971,                 1.7024,                 1.4288,                 2.5166,                  2.027,                 1.2914,                0.49322,                0.43385,                0.40474,                0.13344,                 2.3216,                 1.5125,                 1.3572,                 2.4933,                 1.8025,                 1.2593,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.3422,                 1.5299,                 1.3901,                 2.5257,                 1.8226,                 1.2787,                0.56681,                0.50769,                0.48075,                0.15905,                 2.1718,                 1.4002,                 1.3066,                 2.4441,                 1.6487,                 1.2324,               0.001901,               0.001901,               0.001901
                      8,                 2.2964,                 1.4855,                 1.3744,                 2.4796,                 1.8137,                 1.2626,                0.51179,                0.51932,                0.48001,                0.16293,                 2.0783,                 1.3638,                 1.2441,                 2.3751,                 1.6609,                 1.1775,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.2881,                 1.4373,                  1.354,                 2.4678,                 1.7262,                 1.2489,                0.51575,                0.45231,                0.43677,                0.14818,                 2.2231,                 1.3605,                 1.2795,                 2.3493,                 1.6153,                 1.1788,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.2514,                 1.3874,                 1.3687,                 2.4139,                 1.6701,                 1.2402,                0.54875,                0.49846,                0.47865,                0.16914,                 2.1427,                 1.2992,                 1.2571,                 2.2993,                 1.5217,                 1.1476,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.2716,                 1.3906,                 1.3665,                 2.4951,                 1.6235,                 1.2414,                0.61015,                0.49846,                0.51107,                0.18568,                 2.0701,                 1.2445,                 1.2363,                 2.3274,                 1.4928,                 1.1547,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.3095,                 1.3683,                 1.3284,                 2.5122,                 1.6171,                 1.2122,                0.60195,                0.51692,                0.52787,                0.18391,                 2.0808,                 1.2749,                  1.218,                 2.2638,                 1.5254,                 1.1507,               0.001802,               0.001802,               0.001802
                     13,                 2.2744,                 1.3563,                 1.3666,                 2.4548,                 1.6125,                 1.2384,                0.61537,                0.54462,                0.54368,                 0.1886,                 2.1501,                 1.1715,                 1.2714,                 2.2844,                  1.415,                 1.1388,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.2274,                 1.2689,                 1.3344,                 2.3768,                 1.5295,                 1.2015,                0.63755,                0.52923,                0.52139,                0.17613,                 2.2239,                 1.2458,                 1.3098,                 2.3372,                 1.4952,                 1.1514,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.2245,                 1.2791,                 1.3428,                  2.401,                 1.4917,                 1.2125,                0.58633,                0.54769,                0.50836,                 0.1554,                 2.2357,                 1.1679,                 1.3072,                 2.4694,                 1.4613,                 1.1935,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.1919,                 1.2586,                 1.3258,                 2.3909,                  1.502,                 1.2055,                0.65649,                0.56452,                0.57807,                0.19815,                 2.0327,                 1.1353,                 1.1997,                 2.2762,                 1.3379,                 1.1326,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.2007,                 1.2439,                 1.3032,                 2.3824,                 1.4395,                  1.183,                0.51316,                0.56923,                0.50374,                0.18978,                 2.1796,                 1.2102,                 1.2796,                 2.2714,                  1.442,                 1.1265,               0.001703,               0.001703,               0.001703
                     18,                 2.2036,                 1.2513,                 1.3284,                 2.3981,                 1.4513,                 1.2116,                0.60257,                0.56615,                0.53342,                0.18194,                 2.2197,                  1.187,                 1.3085,                 2.3277,                 1.3967,                 1.1603,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.2132,                 1.2372,                 1.3162,                 2.3915,                 1.4433,                 1.2133,                0.61766,                0.59385,                0.57996,                0.21703,                 2.0926,                 1.1261,                 1.2247,                 2.2533,                   1.34,                 1.1305,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.1648,                  1.186,                 1.2895,                 2.3394,                 1.4206,                 1.1772,                0.64043,                0.55077,                0.56159,                0.18698,                 2.2083,                 1.1401,                 1.2821,                 2.3067,                 1.3877,                 1.1405,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.2269,                 1.1992,                 1.3303,                 2.3581,                 1.4131,                 1.2063,                0.64488,                0.59692,                0.59348,                0.22345,                 2.0382,                 1.0873,                 1.2246,                  2.223,                 1.3138,                 1.1138,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.1522,                  1.161,                 1.2929,                 2.3568,                 1.3816,                 1.1828,                0.62475,                0.59385,                0.58385,                0.20907,                  2.102,                 1.1067,                 1.2327,                 2.2768,                 1.3022,                 1.1203,               0.001604,               0.001604,               0.001604
                     23,                 2.1354,                 1.1898,                 1.3046,                 2.3325,                 1.4067,                 1.1957,                0.56364,                0.54462,                0.53761,                0.19361,                 2.1737,                 1.2725,                 1.2358,                 2.3219,                 1.4802,                 1.1426,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.1521,                  1.199,                 1.2792,                 2.3399,                 1.4337,                 1.1634,                0.66279,                0.58058,                0.59258,                0.22165,                 2.0587,                 1.1294,                 1.2279,                 2.2342,                 1.3739,                 1.1242,              0.0015644,              0.0015644,              0.0015644
                     25,                  2.137,                 1.2138,                 1.2864,                 2.3332,                 1.4187,                 1.1849,                0.64666,                0.60308,                0.58038,                0.20923,                 2.1205,                  1.075,                 1.2517,                 2.2248,                 1.3158,                 1.1097,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.1527,                 1.1564,                 1.3259,                 2.3431,                 1.3925,                 1.1991,                  0.589,                0.59089,                0.58177,                0.22084,                 2.0457,                 1.1192,                  1.227,                  2.235,                 1.2701,                 1.1047,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.0795,                 1.1388,                 1.2693,                 2.3076,                 1.3241,                 1.1643,                0.60378,                0.58769,                0.55455,                0.19482,                  2.153,                  1.113,                 1.2461,                 2.3428,                 1.3338,                 1.1384,               0.001505,               0.001505,               0.001505
                     28,                 2.0807,                 1.1482,                   1.25,                 2.2792,                 1.3562,                 1.1581,                0.64836,                    0.6,                0.60907,                0.23128,                 2.0418,                 1.0828,                 1.2209,                 2.2063,                 1.2636,                 1.0971,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.1486,                  1.171,                 1.2771,                 2.3426,                 1.3556,                 1.1694,                0.62243,                0.62769,                0.60841,                0.22691,                 2.0603,                 1.0771,                 1.2282,                 2.2284,                 1.2593,                 1.1158,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.1144,                 1.1312,                 1.2825,                 2.3444,                 1.3479,                 1.1797,                0.68466,                0.56615,                0.61792,                0.24102,                 2.0264,                 1.1055,                 1.2084,                 2.1884,                 1.2894,                 1.0885,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.1014,                 1.1365,                 1.2629,                 2.2986,                 1.3217,                 1.1578,                0.64104,                0.61231,                0.61284,                0.23257,                 2.0423,                 1.0847,                 1.2001,                 2.1735,                 1.2922,                 1.0959,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.1214,                 1.1203,                  1.256,                 2.3572,                 1.3016,                 1.1608,                0.64515,                0.58179,                0.57951,                0.23133,                 2.1195,                 1.0821,                 1.2304,                 2.2685,                 1.2342,                  1.117,               0.001406,               0.001406,               0.001406
                     33,                 2.1378,                 1.1245,                 1.2497,                 2.3253,                 1.3238,                 1.1559,                0.68591,                0.63077,                0.63098,                0.22342,                 2.0579,                 1.1339,                 1.2062,                 2.2888,                  1.276,                 1.1294,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.0928,                 1.1065,                 1.2622,                 2.3007,                 1.2997,                 1.1654,                0.65209,                0.61846,                0.60657,                 0.2298,                  2.013,                 1.0369,                 1.1934,                 2.2303,                 1.2479,                 1.1064,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.0882,                 1.1188,                 1.2736,                 2.2882,                 1.3051,                 1.1715,                0.71388,                0.59077,                0.61666,                0.23304,                 2.0529,                 1.0464,                 1.2188,                 2.1698,                 1.2401,                 1.0968,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.0651,                 1.0988,                 1.2643,                 2.2536,                 1.3103,                 1.1576,                 0.6281,                0.59077,                0.59041,                 0.2082,                 2.0706,                 1.0949,                 1.2248,                 2.2333,                 1.3075,                 1.1052,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.0786,                 1.0968,                 1.2562,                 2.2919,                 1.2991,                  1.152,                0.64832,                0.63385,                0.61289,                0.22287,                 2.0585,                 1.0564,                 1.2212,                 2.2478,                 1.2197,                 1.1094,               0.001307,               0.001307,               0.001307
                     38,                  2.092,                 1.0833,                 1.2578,                 2.3267,                 1.2864,                 1.1658,                0.64601,                0.60643,                0.58375,                0.22579,                 2.0357,                 1.0928,                 1.2114,                 2.2332,                 1.2275,                 1.1138,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.0486,                 1.0674,                 1.2276,                 2.2769,                 1.2439,                 1.1427,                0.62802,                0.59077,                0.59636,                0.22351,                 2.0392,                  1.065,                 1.2184,                 2.2324,                 1.2237,                  1.101,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.0894,                 1.0868,                 1.2408,                 2.2859,                 1.2902,                 1.1454,                0.64889,                0.58462,                0.60718,                0.23246,                 2.0398,                 1.0596,                 1.2185,                 2.2726,                 1.2456,                 1.1165,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.0857,                 1.0832,                 1.2497,                  2.274,                 1.2749,                 1.1507,                  0.609,                0.63077,                0.59065,                0.22012,                 2.0298,                 1.0825,                 1.2089,                 2.1881,                 1.2999,                 1.1008,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0471,                 1.0911,                 1.2673,                 2.2344,                  1.294,                 1.1614,                0.61385,                0.59185,                0.57112,                0.20722,                 2.1418,                 1.1327,                 1.2474,                 2.3769,                 1.2792,                 1.1285,               0.001208,               0.001208,               0.001208
                     43,                 2.0652,                 1.0678,                  1.243,                 2.2919,                 1.2956,                 1.1521,                0.68048,                0.61846,                0.62649,                0.23053,                 2.0251,                 1.0487,                 1.1855,                 2.2275,                 1.2785,                  1.096,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.0445,                 1.0554,                 1.2546,                 2.2343,                 1.2754,                 1.1434,                0.67162,                0.58769,                0.58883,                0.21646,                 2.1466,                 1.0484,                 1.2448,                 2.2674,                 1.2669,                 1.1167,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.0202,                 1.0574,                 1.2393,                 2.2369,                 1.2585,                 1.1439,                0.65572,                0.60948,                 0.6125,                0.23409,                 1.9613,                 1.0288,                 1.1822,                  2.176,                 1.1914,                 1.0922,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.0537,                  1.059,                 1.2331,                 2.2359,                 1.2593,                  1.139,                0.63386,                0.60308,                0.59422,                0.21805,                 2.0268,                 1.0804,                 1.2097,                 2.2629,                 1.2633,                 1.1119,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.0496,                 1.0808,                 1.1995,                 2.2599,                 1.2587,                 1.1198,                0.70521,                0.64773,                0.63852,                 0.2427,                 1.9387,                  1.062,                 1.1723,                 2.1442,                 1.2154,                 1.0859,               0.001109,               0.001109,               0.001109
                     48,                 2.0143,                 1.0438,                 1.2419,                 2.2363,                 1.2303,                  1.155,                0.65274,                0.64776,                0.64438,                 0.2428,                 2.0096,                 1.0198,                 1.2007,                 2.1604,                 1.1425,                 1.0943,              0.0010892,              0.0010892,              0.0010892
                     49,                  2.042,                 1.0828,                 1.2294,                 2.2514,                 1.2499,                 1.1398,                0.64239,                0.63692,                 0.6069,                0.22312,                 1.9965,                 1.0532,                 1.1968,                 2.2713,                 1.2354,                 1.1111,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.0345,                 1.0442,                 1.1999,                 2.2228,                 1.2402,                 1.1171,                 0.6633,                0.59692,                0.63404,                0.23717,                 2.0531,                 1.0595,                 1.2088,                  2.207,                 1.2284,                 1.1031,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.9978,                0.99822,                 1.2184,                 2.1993,                 1.1873,                 1.1322,                0.73631,                0.61538,                0.64039,                0.24731,                 1.9462,                 1.0227,                 1.1722,                 2.1813,                 1.1968,                 1.0906,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.0114,                 1.0457,                 1.2396,                 2.2193,                 1.2208,                 1.1403,                0.66367,                0.58288,                0.60293,                0.21708,                 2.0372,                 1.0324,                 1.2164,                 2.3015,                   1.26,                 1.1206,                0.00101,                0.00101,                0.00101
                     53,                 2.0153,                 1.0425,                 1.2153,                 2.2302,                  1.214,                 1.1258,                0.66212,                0.65846,                0.66272,                 0.2555,                 1.9593,                 1.0273,                 1.1807,                 2.1612,                 1.1579,                 1.0829,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.9973,                 1.0114,                 1.2293,                 2.2363,                 1.2101,                 1.1396,                0.66118,                0.62445,                0.64361,                0.24934,                 1.9838,                 1.0284,                 1.1767,                 2.1502,                 1.1947,                 1.0819,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.0085,                 1.0158,                 1.2386,                 2.2171,                 1.2031,                 1.1401,                0.69231,                0.59385,                0.62181,                0.22429,                 2.0818,                 1.0559,                 1.2271,                 2.1996,                 1.2773,                 1.0965,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.9746,                0.98401,                 1.2145,                 2.1953,                 1.2016,                 1.1252,                0.64637,                0.58769,                0.59629,                 0.2149,                  2.076,                 1.0127,                  1.222,                 2.3152,                 1.2309,                 1.1232,              0.0009308,              0.0009308,              0.0009308
